,V1,V2,"V3-down fg (1,2,3) w possession",,"V3-down td (4,5,6,7,8)",,
down_by_fg,time1,time2,prob_of_winning,,prob_of_winning,,is greater than 26.50
vec,0,10,26.50862069,,7.532467532,,0
vec,10,20,28,,11.1627907,,0
vec,20,30,32.04134367,,15.95744681,,0
vec,30,40,39.60674157,,20,,0
vec,40,50,35.88235294,,20.1980198,,0
vec,50,60,39.79591837,,22.12581345,,0
vec,60,70,39.00928793,,21.21807466,,0
vec,70,80,43.75,,19.84126984,,0
vec,80,90,41.07744108,,23.45924453,,0
vec,90,100,38.98916968,,21.20535714,,0
vec,100,110,36.32653061,,18.89168766,,0
vec,110,120,43.36448598,,23.62459547,,0
vec,120,130,44.49064449,,25.15188335,,0
vec,130,140,42.4,,20.83333333,,0
vec,140,150,42.98642534,,22.93814433,,0
vec,150,160,42.23300971,,24.82100239,,0
vec,160,170,40.19138756,,19.67654987,,0
vec,170,180,39.32038835,,19.11357341,,0
vec,180,190,42.99516908,,20.05347594,,0
vec,190,200,41.39784946,,25.92592593,,0
vec,200,210,48.38709677,,21.51515152,,0
vec,210,220,41.61490683,,24.07407407,,0
vec,220,230,43.55828221,,23.10231023,,0
vec,230,240,48.58757062,,24.42244224,,0
vec,240,250,45.02923977,,20.59800664,,0
vec,250,260,42.36111111,,22.52559727,,0
vec,260,270,40.76433121,,24.21875,,0
vec,270,280,46.51162791,,27,,1
vec,280,290,47.93814433,,24.28571429,,0
vec,290,300,48.19277108,,28.51851852,,1
vec,300,310,46.66666667,,26.41509434,,0
vec,310,320,50,,26.47058824,,0
vec,320,330,45.83333333,,23.39622642,,0
vec,330,340,41.93548387,,26.47058824,,0
vec,340,350,45.18072289,,28.8,,1
vec,350,360,50,,22.46376812,,0
vec,360,370,53.01204819,,25.44802867,,0
vec,370,380,48.21428571,,26.15384615,,0
vec,380,390,47.36842105,,28.73134328,,1
vec,390,400,47.79874214,,25.74626866,,0
vec,400,410,42.69005848,,30.27888446,,1
vec,410,420,47.42268041,,26.44927536,,0
vec,420,430,37.76223776,,25.85034014,,0
vec,430,440,43.71584699,,25.18518519,,0
vec,440,450,42.52873563,,28.78787879,,1
vec,450,460,43.01675978,,25.37878788,,0
vec,460,470,46.59090909,,25.19083969,,0
vec,470,480,50.28901734,,23.79310345,,0
vec,480,490,43.97905759,,21.89781022,,0
vec,490,500,46.02272727,,25.93984962,,0
vec,500,510,37.88819876,,25.19379845,,0
vec,510,520,45.69892473,,27.71084337,,1
vec,520,530,45.39877301,,22.90076336,,0
vec,530,540,43.11377246,,18.88888889,,0
vec,540,550,49.45652174,,22.58064516,,0
vec,550,560,36.41975309,,26.71480144,,1
vec,560,570,48.7804878,,25.61403509,,0
vec,570,580,45.39877301,,25,,0
vec,580,590,47.72727273,,24.62121212,,0
vec,590,600,43.52941176,,29.13669065,,1
vec,600,610,48.9010989,,25.09225092,,0
vec,610,620,45.96273292,,25.74257426,,0
vec,620,630,49.41176471,,25.49800797,,0
vec,630,640,47.79874214,,30.35714286,,1
vec,640,650,48.57142857,,28.67132867,,1
vec,650,660,46.23655914,,30.03412969,,1
vec,660,670,40.78947368,,29.38596491,,1
vec,670,680,48,,26.8852459,,1
vec,680,690,45.56213018,,28.20512821,,1
vec,690,700,46.15384615,,28.52112676,,1
vec,700,710,49.36708861,,28.67132867,,1
vec,710,720,43.2748538,,26.71232877,,1
vec,720,730,42.94478528,,27.56183746,,1
vec,730,740,50.28901734,,30.94339623,,1
vec,740,750,48.04469274,,33.87755102,,1
vec,750,760,50.93167702,,25.44169611,,0
vec,760,770,45.35519126,,29.67741935,,1
vec,770,780,46.96132597,,31.83391003,,1
vec,780,790,45.73170732,,30.25210084,,1
vec,790,800,50.37593985,,27.95275591,,1
vec,800,810,41.89944134,,28.92857143,,1
vec,810,820,42.85714286,,30.2259887,,1
vec,820,830,48.55491329,,24.31506849,,0
vec,830,840,42.97520661,,31.30434783,,1
vec,840,850,44.44444444,,28.57142857,,1
vec,850,860,47.1042471,,28.20512821,,1
vec,860,870,50,,25,,0
vec,870,880,51.68539326,,30,,1
vec,880,890,46.36363636,,28.66666667,,1
vec,890,900,47.64826176,,27.88104089,,1
vec,900,910,48.46491228,,27.74725275,,1
