down_by_fg,time1,time2,prob_of_winning,num games
vec,0,30,19.37984496,129
vec,30,60,26.66666667,120
vec,60,90,33.68421053,95
vec,90,120,34.23423423,111
vec,120,150,35.8974359,117
vec,150,180,44.15584416,77
vec,180,210,49.18032787,61
vec,210,240,42.85714286,56
vec,240,270,34.61538462,52
vec,270,300,47.94520548,73
vec,300,330,50,52
vec,330,360,37.25490196,51
vec,360,390,48.07692308,52
vec,390,420,42.37288136,59
vec,420,450,37.25490196,51
vec,450,480,38.33333333,60
vec,480,510,37.14285714,70
vec,510,540,47.22222222,72
vec,540,570,48.68421053,76
vec,570,600,46.875,64
vec,600,630,48.4375,64
vec,630,660,47.69230769,65
vec,660,690,42.85714286,63
vec,690,720,49.18032787,61
vec,720,750,42.42424242,66
vec,750,780,50.98039216,51
vec,780,810,40.38461538,52
vec,810,840,36.36363636,44
vec,840,870,50,66
vec,870,900,34.88372093,43
vec,900,930,39.80582524,103
