"","V1","V2","V3","V4"
"down_by_td","time1","time2","prob_of_winning","num of games"
"vec","0","15","2.5974025974026","77"
"vec","15","30","3.07692307692308","65"
"vec","30","45","4.81927710843374","83"
"vec","45","60","17.6470588235294","85"
"vec","60","75","17.8571428571429","84"
"vec","75","90","17.5925925925926","108"
"vec","90","105","18.0851063829787","94"
"vec","105","120","22.5225225225225","111"
"vec","120","135","32.6923076923077","156"
"vec","135","150","35.1063829787234","94"
"vec","150","165","33.7078651685393","89"
"vec","165","180","20.6896551724138","58"
"vec","180","195","27.7777777777778","90"
"vec","195","210","15.3846153846154","65"
"vec","210","225","32.258064516129","62"
"vec","225","240","25","64"
"vec","240","255","24.5901639344262","61"
"vec","255","270","37.7777777777778","45"
"vec","270","285","16.1290322580645","62"
"vec","285","300","29.4117647058824","68"
"vec","300","315","23.9130434782609","46"
"vec","315","330","24.4897959183673","49"
"vec","330","345","35.0877192982456","57"
"vec","345","360","32.7272727272727","55"
"vec","360","375","27.4509803921569","51"
"vec","375","390","41.0714285714286","56"
"vec","390","405","28.2608695652174","46"
"vec","405","420","34.8837209302326","43"
"vec","420","435","32.6923076923077","52"
"vec","435","450","30.188679245283","53"
"vec","450","465","22.6415094339623","53"
"vec","465","480","36","50"
"vec","480","495","25.4237288135593","59"
"vec","495","510","31.4814814814815","54"
"vec","510","525","15.2173913043478","46"
"vec","525","540","19.2307692307692","52"
"vec","540","555","32.7272727272727","55"
"vec","555","570","18.3673469387755","49"
"vec","570","585","32.6923076923077","52"
"vec","585","600","30.6122448979592","49"
"vec","600","615","26.984126984127","63"
"vec","615","630","26.530612244898","49"
"vec","630","645","46.1538461538462","39"
"vec","645","660","26","50"
"vec","660","675","33.3333333333333","54"
"vec","675","690","26.7857142857143","56"
"vec","690","705","32.7868852459016","61"
"vec","705","720","31.5789473684211","38"
"vec","720","735","33.9285714285714","56"
"vec","735","750","43.6363636363636","55"
"vec","750","765","31.1111111111111","45"
"vec","765","780","47.4576271186441","59"
"vec","780","795","34.2857142857143","35"
"vec","795","810","36.5853658536585","41"
"vec","810","825","35.2941176470588","51"
"vec","825","840","32.5581395348837","43"
"vec","840","855","41.6666666666667","36"
"vec","855","870","22.8571428571429","70"
"vec","870","885","27.7777777777778","18"
"vec","885","900","44.4444444444444","27"
"vec","900","915","35.8778625954198","131"
